,Movie,Name
0,Ghar Dwaar,Sachin Pilgaonkar
1,Raincoat,Charles Macintosh
2,Taj Mahal: An Eternal Love Story,Sonya Jehan
3,Dream Girl,Kirsten Dunst
4,Meinu Ek Ladki Chaahiye,Roop Kumar Rathod
5,Zeher,Roop Kumar Rathod
6,Kai Po Che!,Chetan Bhagat
7,Gunda,Chetan Bhagat
8,Home Delivery,Mahima Chaudhary
9,Sehar,Mahima Chaudhary
10,Bubble Gum,Walter Diemer
11,Sir,Sir John Polkinghorne
12,Josh,Josh Walker
13,Ta Ra Rum Pum,Will Ferrell
14,Main Hoon Na,Ayesha Takia
15,Home Delivery,Ayesha Takia
16,Shaadi Se Pehle,Ayesha Takia
17,De Taali,Ayesha Takia
18,Dil Maange More,Ayesha Takia
19,Neal 'n' Nikki,Ayesha Takia
20,Socha Na Tha,Ayesha Takia
21,Taarzan: The Wonder Car,Ayesha Takia
22,Maya Bazaar,Kadiri Venkata Reddy
23,Lage Raho Munna Bhai,Manmohan Singh
24,Baazigar,Dr. Alban
25,Jhanjhaar,Ranjana Deshmukh
26,Hamari Bahu Alka,Utpal Dutt
27,Priyatama,Utpal Dutt
28,Shaukeen,Utpal Dutt
29,Yeh Desh,Utpal Dutt
30,36 Chowringhee Lane,Utpal Dutt
31,Naram Garam,Utpal Dutt
32,Gol Maal,Utpal Dutt
33,Raaste Pyar Ke,Utpal Dutt
34,Aap Ke Saath,Utpal Dutt
35,Pasand Apni Apni,Utpal Dutt
36,Aar Paar (1985 film),Utpal Dutt
37,Prem Vivah,Utpal Dutt
38,The Last Lear,Utpal Dutt
39,Baat Ban Jaye,Utpal Dutt
40,Rascals,Dino Danelli
41,Star,Edmond Halley
42,Khalifa,Ali ibn Abi Talib
43,Super Model,Henry Stacy Marks
44,Karma Aur Holi,débutant Manish Gupta
45,Thodisi Bewafaii,Padmini Kohlapure
46,Ek Nai Paheli,Padmini Kohlapure
47,Swami Dada,Padmini Kohlapure
48,Aa Ab Laut Chalen,Akshaye Khanna
49,Humraaz,Akshaye Khanna
50,Aap Ki Khatir,Akshaye Khanna
51,Doli Saja Ke Rakhna,Akshaye Khanna
52,Ittefaq,Akshaye Khanna
53,Dil Chahta Hai,Akshaye Khanna
54,Mere Baap Pehle Aap,Akshaye Khanna
55,Delhi Safari,Akshaye Khanna
56,36 China Town,Akshaye Khanna
57,Aakrosh,Akshaye Khanna
58,Hulchul,Akshaye Khanna
59,Gali Gali Chor Hai,Akshaye Khanna
60,Deewangee,Akshaye Khanna
61,Dahek,Akshaye Khanna
62,Dil Dhadakne Do,Kabir Mehra
63,Pinjar,Anupama Chopra
64,Patiala House,Anupama Chopra
65,Luv Shuv Tey Chicken Khurana,Anupama Chopra
66,Heropanti,Anupama Chopra
67,Sholay,Anupama Chopra
68,Kaho Naa... Pyaar Hai,Anupama Chopra
69,NH10,Anupama Chopra
70,Pyar ka Punchnama,Anupama Chopra
71,Sholay 3D,Anupama Chopra
72,Arjun: The Warrior Prince,Anupama Chopra
73,Hazaaron Khwaishein Aisi,Anupama Chopra
74,Vivah,Anupama Chopra
75,Jolly LLB,Anupama Chopra
76,Zanjeer,Anupama Chopra
77,Aap Ki Khatir,Anupama Chopra
78,Popcorn Khao! Mast Ho Jao,Anupama Chopra
79,Revolver Rani,Anupama Chopra
80,Ishqiya,Anupama Chopra
81,Bewakoofiyaan,Anupama Chopra
82,Dabangg 2,Anupama Chopra
83,Jism 2,Anupama Chopra
84,Shuddh Desi Romance,Anupama Chopra
85,Jawaani,Anupama Chopra
86,Shor in the City,Anupama Chopra
87,Raja Natwarlal,Anupama Chopra
88,Dhobi Ghat,Anupama Chopra
89,Naughty @ 40,Anupama Chopra
90,Hawaizaada,Anupama Chopra
91,Masti,Anupama Chopra
92,Gunday,Anupama Chopra
93,Jai Ho,Anupama Chopra
94,Stanley Ka Dabba,Anupama Chopra
95,Youngistaan,Anupama Chopra
