Movies,Name
"['Aisa Pyaar Kahan', 'Yaaron Ka Yaar']",A. Bhimsingh
"['Prem Bandhan', 'Meri Jung', 'Badalte Rishtey', 'Mere Apne', 'Alaap', 'Aap Ki Kasam', 'Pasand Apni Apni', 'Kalabaaz', 'Chhupa Rustam', 'Des Pardes', 'Shriman Shrimati']",A. K. Hangal
['Jamai Raja'],A. Kodandarami Reddy
"['Delhi-6', 'Mangal Pandey: The Rising', 'Kisna: The Warrior Poet', 'Tamasha', 'Lekar Hum Deewana Dil', 'Kochadaiiyaan', 'The Legend of Bhagat Singh', 'Dil Se..', 'Armaan', 'Dil Ne Jise Apna Kahaa', 'Doli Saja Ke Rakhna', 'Jodhaa Akbar', 'Kabhi Na Kabhi', 'Bunty Aur Babli', 'Gaja Gamini', 'Dil Hi Dil Mein', 'Swades', 'Ekk Deewana Tha', 'Jab Tak Hai Jaan', 'Netaji Subhas Chandra Bose: The Forgotten Hero', 'Rang De Basanti', 'Ghajini', 'Jaane Tu... Ya Jaane Na', 'Raanjhanaa', 'Thakshak', 'Rangeela', 'Yuva', 'Lakeer - Forbidden Lines']",A. R. Rahman
"['Morning Raga', 'Talvar', 'Firaaq']",A. Sreekar Prasad
['Pyasa Shaitan'],A. Vincent
"['Daag: A Poem of Love', 'Namak Haraam', 'Heera Panna', 'Shaukeen', 'Naram Garam', 'Bemisal', 'Kora Kagaz', 'Dattak', 'Tere Mere Sapne', 'Chala Murari Hero Banne']",A.K. Hangal
['Dil Hi Dil Mein'],A.M. Rathnam
['Yuvvraaj'],A.R Rahman
['Dil Maange More'],A.R. Rehman
['Abhinay Chakra'],ACP Ravindra Varma
"['Hari Puttar: A Comedy of Terrors', 'Lal Baadshah']",Aadesh Shrivastav
"['Major Saab', 'Sailaab', 'Deewaanapan', 'Phir Bhi Dil Hai Hindustani', 'International Khiladi', 'Angaaray', 'Baghban']",Aadesh Shrivastava
['Dhoom 3'],Aaliya
['Sorry Bhai!'],Aaliyah
"['Omkara', 'Mangal Pandey: The Rising', 'Raakh', 'Jo Jeeta Wohi Sikandar', 'Yaadon Ki Baaraat', 'Naksha', 'Nasha', 'Aamir', 'Taare Zameen Par', 'Begunaah', 'Dhoom 3', 'Dabangg 2', 'Tum Mere Ho', 'Zameen', 'Dhobi Ghat', 'Deewana Mujh Sa Nahin', 'Hum Tumhare Hain Sanam', 'Isi Ka Naam Zindagi', 'Dil Chahta Hai', 'Raja Hindustani', 'Aatank', 'Disco Dancer', 'Dil Dhadakne Do', 'Pyaar Ki Jeet', 'Delhi Belly', 'Talaash', 'Jai Ho', 'Dil Hai Ke Manta Nahin', 'Zabardast', 'Rang De Basanti', 'Awwal Number', 'Ghajini', 'Afsana Pyaar Ka', 'Sarfarosh', 'Fanaa', 'Lagaan: Once Upon a Time in India', 'Hum Hain Rahi Pyar Ke', 'Jaane Tu... Ya Jaane Na', 'Andaz', 'Dil', 'Gadar: Ek Prem Katha', 'Rangeela', 'Kabzaa', 'Darr']",Aamir Khan
"['Teesri Aankh: The Hidden Camera', 'Teesri Aankh']",Aarti Chabaria
"['Ssukh', 'Tumse Achcha Kaun Hai']",Aarti Chhabria
"['Maine Dil Tujhko Diya', 'Karan Arjun', 'Jodi No.1', 'Aman Ke Farishtey']",Aashif Sheikh
"['Qayamat: City Under Threat', 'Teesri Aankh: The Hidden Camera', 'Double Dhamaal', 'Dhamaal', 'Shaadi Ka Laddoo', 'Teesri Aankh', 'Fight Club  Members Only']",Aashish Chaudhary
"['Munna Bhai M.B.B.S.', 'Main Hoon Na', 'Dil Pe Mat Le Yaar', 'Jaane Tu... Ya Jaane Na']",Abbas Tyrewala
['Chhalia'],Abdul Rehman
['Ek Baar Chale Aao'],Abdul Sattar Khan
"['Ahista Ahista', 'Ek Chalis Ki Last Local', 'Abhay', 'Manorama Six Feet Under', 'Zindagi Na Milegi Dobara', 'Raanjhanaa', 'Oye Lucky! Lucky Oye!']",Abhay Deol
"['Jagriti', 'Ishq Par Zor Nahin']",Abhi Bhattacharya
"['Chalte Chalte', 'Yes Boss', 'Main Khiladi Tu Anari', 'Dil Vil Pyar Vyar', 'Billu']",Abhijeet Bhattacharya
['Delhi Belly'],Abhinay Deo
"['Dhoom 2', 'Kuch Naa Kaho', 'Delhi-6', 'Shootout at Lokhandwala', 'Dhaai Akshar Prem Ke', 'Mission Istaanbul', 'Tera Jadoo Chal Gayaa', 'Sarkar Raj', 'Bol Bachchan', 'Home Delivery', 'Rakht: What If You Can See the Future', 'Dhoom 3', ""Neal 'n' Nikki"", 'Dhoom', 'Jhoom Barabar Jhoom', 'Raja Natwarlal', 'Hum Tum', 'Bunty Aur Babli', 'Main Prem Ki Diwani Hoon', 'Umrao Jaan', 'Kabhi Alvida Naa Kehna', 'Chittagong (film)', 'Antarmahal', 'Dostana', 'Dum Maaro Dum', 'All Is Well', 'Salaam Namaste', 'Laaga Chunari Mein Daag', 'Shamitabh', 'Bbuddah... Hoga Terra Baap', 'Dus', 'Yuva', 'LOC Kargil']",Abhishek Bachchan
"['Ishqiya', 'Dedh Ishqiya']",Abhishek Chaubey
