Charc,Movie
",Carl Jung,Sigmund Freud,Eugen Bleuler,Johann Wolfgang Goethe",Jung
",Sameera Reddy,Oprah Winfrey,Ashok,Pankaj Udhas,Anil Kapoor",Sameera
,Shankar Hussain
",Rakesh Roshan,Mithun Chakraborty,Rati Agnihotri",Jeene Ki Arzoo
",Sajid Nadiadwala,Palak Muchhal,Atif Aslam",Baaghi
",Anita Raj,Sheela Sharma,Raj Babbar,Rajkumar Kohli,Vinod Mehra,Om Prakash,Rishi Kapoor,Reena Roy,Dharmendra,Danny Denzongpa",Naukar Biwi Ka
",Juhi Chawla,Amrita Singh,Jackie Shroff,Deepak Tijori,Yash Chopra,Saeed Jaffery",Aaina
,Raat
",Mithun Chakraborty,Gulshan Grover",Maa Kasam
",Dev Anand,Girish Karnad,Rajesh Roshan,Basu Chatterjee,Simple Kapadia",Man Pasand
",Anupam Kher,Om Puri,Rakhi Sawant,Paresh Rawal,Mukesh Tiwari,Ranjeet",Buddha Mar Gaya
",Urmila Matondkar,Manoj Bajpai,Uttam Singh,Chandraprakash Dwivedi,Sanjay Suri,Anupama Chopra",Pinjar
,100 Days
",Jonathan Swift",Jajantaram Mamantaram
",Kader Khan,Raveena Tandon,Harish Kumar,Sachin Bhowmik,Saeed Jaffrey",Aunty No. 1
",Aditya Chopra,Habib Faisal,Anupam Kher,Karan Wahi,Mary Kom",Daawat-E-Ishq
",Sapan Chakraborty,Mala Sinha,Sunil Dutt,Vijay Arora,Deven Verma,Raaj Kumar,Parveen Babi,Danny Denzongpa",36 Ghante
",David Dhawan,Ayananka Bose,Salman Khan,Amit Mishra",Judwaa
",Anjali Devi,Saif Ali Khan,Shilpa Shetty,Somy Ali,Prem Chopra,Mukesh Khanna,Gulshan Grover",Aao Pyaar Karen
",President Blaise Compaoré,Capt. Thomas Sankara,Roch Marc Christian Kaboré",Fatso!
",Dharmendra,Kader Khan,Parveen Babi,Jaya Prada,Shakti Kapoor",Jaani Dost
,Meri Biwi Ki Shaadi
",Poonam Dhillon,Padmini Kolhapure",Pehchaan
",Dharmendra",Zulm Ki Hukumat
",Saurabh Shukla,Ashish Vidyarthi,Virendra Saxena,M. M. Kreem,Irrfan Khan",Is Raat Ki Subah Nahin
",Akshay Kumar,Himesh Reshammiya,Mukesh Rishi,Mithun Chakraborty,Raj Babbar,Shabbir Ahmed",Khiladi 786
",Salman Khan,Sooraj R. Barjatya,– Ranjeet,S. P. Balasubrahmanyam,Alok Nath",Maine Pyar Kiya
