Charc,Movie,NewChar
",Carl Jung,Sigmund Freud,Eugen Bleuler,Johann Wolfgang Goethe",Jung,"['Carl Jung', 'Sigmund Freud', 'Eugen Bleuler', 'Johann Wolfgang Goethe']"
",Sameera Reddy,Oprah Winfrey,Ashok,Pankaj Udhas,Anil Kapoor",Sameera,"['Sameera Reddy', 'Oprah Winfrey', 'Ashok', 'Pankaj Udhas', 'Anil Kapoor']"
",Rakesh Roshan,Mithun Chakraborty,Rati Agnihotri",Jeene Ki Arzoo,"['Rakesh Roshan', 'Mithun Chakraborty', 'Rati Agnihotri']"
",Sajid Nadiadwala,Palak Muchhal,Atif Aslam",Baaghi,"['Sajid Nadiadwala', 'Palak Muchhal', 'Atif Aslam']"
",Anita Raj,Sheela Sharma,Raj Babbar,Rajkumar Kohli,Vinod Mehra,Om Prakash,Rishi Kapoor,Reena Roy,Dharmendra,Danny Denzongpa",Naukar Biwi Ka,"['Anita Raj', 'Sheela Sharma', 'Raj Babbar', 'Rajkumar Kohli', 'Vinod Mehra', 'Om Prakash', 'Rishi Kapoor', 'Reena Roy', 'Dharmendra', 'Danny Denzongpa']"
",Juhi Chawla,Amrita Singh,Jackie Shroff,Deepak Tijori,Yash Chopra,Saeed Jaffery",Aaina,"['Juhi Chawla', 'Amrita Singh', 'Jackie Shroff', 'Deepak Tijori', 'Yash Chopra', 'Saeed Jaffery']"
",Mithun Chakraborty,Gulshan Grover",Maa Kasam,"['Mithun Chakraborty', 'Gulshan Grover']"
",Dev Anand,Girish Karnad,Rajesh Roshan,Basu Chatterjee,Simple Kapadia",Man Pasand,"['Dev Anand', 'Girish Karnad', 'Rajesh Roshan', 'Basu Chatterjee', 'Simple Kapadia']"
",Anupam Kher,Om Puri,Rakhi Sawant,Paresh Rawal,Mukesh Tiwari,Ranjeet",Buddha Mar Gaya,"['Anupam Kher', 'Om Puri', 'Rakhi Sawant', 'Paresh Rawal', 'Mukesh Tiwari', 'Ranjeet']"
",Urmila Matondkar,Manoj Bajpai,Uttam Singh,Chandraprakash Dwivedi,Sanjay Suri,Anupama Chopra",Pinjar,"['Urmila Matondkar', 'Manoj Bajpai', 'Uttam Singh', 'Chandraprakash Dwivedi', 'Sanjay Suri', 'Anupama Chopra']"
",Jonathan Swift",Jajantaram Mamantaram,['Jonathan Swift']
",Kader Khan,Raveena Tandon,Harish Kumar,Sachin Bhowmik,Saeed Jaffrey",Aunty No. 1,"['Kader Khan', 'Raveena Tandon', 'Harish Kumar', 'Sachin Bhowmik', 'Saeed Jaffrey']"
",Aditya Chopra,Habib Faisal,Anupam Kher,Karan Wahi,Mary Kom",Daawat-E-Ishq,"['Aditya Chopra', 'Habib Faisal', 'Anupam Kher', 'Karan Wahi', 'Mary Kom']"
",Sapan Chakraborty,Mala Sinha,Sunil Dutt,Vijay Arora,Deven Verma,Raaj Kumar,Parveen Babi,Danny Denzongpa",36 Ghante,"['Sapan Chakraborty', 'Mala Sinha', 'Sunil Dutt', 'Vijay Arora', 'Deven Verma', 'Raaj Kumar', 'Parveen Babi', 'Danny Denzongpa']"
",David Dhawan,Ayananka Bose,Salman Khan,Amit Mishra",Judwaa,"['David Dhawan', 'Ayananka Bose', 'Salman Khan', 'Amit Mishra']"
",Anjali Devi,Saif Ali Khan,Shilpa Shetty,Somy Ali,Prem Chopra,Mukesh Khanna,Gulshan Grover",Aao Pyaar Karen,"['Anjali Devi', 'Saif Ali Khan', 'Shilpa Shetty', 'Somy Ali', 'Prem Chopra', 'Mukesh Khanna', 'Gulshan Grover']"
",President Blaise Compaoré,Capt. Thomas Sankara,Roch Marc Christian Kaboré",Fatso!,"['President Blaise Compaoré', 'Capt. Thomas Sankara', 'Roch Marc Christian Kaboré']"
",Dharmendra,Kader Khan,Parveen Babi,Jaya Prada,Shakti Kapoor",Jaani Dost,"['Dharmendra', 'Kader Khan', 'Parveen Babi', 'Jaya Prada', 'Shakti Kapoor']"
",Poonam Dhillon,Padmini Kolhapure",Pehchaan,"['Poonam Dhillon', 'Padmini Kolhapure']"
",Dharmendra",Zulm Ki Hukumat,['Dharmendra']
",Saurabh Shukla,Ashish Vidyarthi,Virendra Saxena,M. M. Kreem,Irrfan Khan",Is Raat Ki Subah Nahin,"['Saurabh Shukla', 'Ashish Vidyarthi', 'Virendra Saxena', 'M. M. Kreem', 'Irrfan Khan']"
",Akshay Kumar,Himesh Reshammiya,Mukesh Rishi,Mithun Chakraborty,Raj Babbar,Shabbir Ahmed",Khiladi 786,"['Akshay Kumar', 'Himesh Reshammiya', 'Mukesh Rishi', 'Mithun Chakraborty', 'Raj Babbar', 'Shabbir Ahmed']"
",Salman Khan,Sooraj R. Barjatya,– Ranjeet,S. P. Balasubrahmanyam,Alok Nath",Maine Pyar Kiya,"['Salman Khan', 'Sooraj R. Barjatya', '– Ranjeet', 'S. P. Balasubrahmanyam', 'Alok Nath']"
",Manisha Koirala,Jackie Shroff,Nana Patekar,Fyodor Dostoyevsky,Rajesh Roshan,Majrooh Sultanpuri,Buta Singh",Yugpurush,"['Manisha Koirala', 'Jackie Shroff', 'Nana Patekar', 'Fyodor Dostoyevsky', 'Rajesh Roshan', 'Majrooh Sultanpuri', 'Buta Singh']"
",Tony Blair,Mukesh Ambani,Flavio Briatore",Mittal v/s Mittal,"['Tony Blair', 'Mukesh Ambani', 'Flavio Briatore']"
",Mahesh Yogi,Vijay Raaz,Deepak Chopra,Zayed Khan,Sanjay Khan,Sangeeth Sivan,Esha Deol,Salil Ankola,Himesh Reshammiya,Gulshan Grover,Rakhi Sawant",Chura Liyaa Hai Tumne,"['Mahesh Yogi', 'Vijay Raaz', 'Deepak Chopra', 'Zayed Khan', 'Sanjay Khan', 'Sangeeth Sivan', 'Esha Deol', 'Salil Ankola', 'Himesh Reshammiya', 'Gulshan Grover', 'Rakhi Sawant']"
