scene,anger,disgust,fear,joy,sadness
0,0.128742,0.108025,0.095185,0.686056,0.533022
1,0.168179,0.191885,0.131789,0.472747,0.504349
2,0.064864,0.062486,0.050415,0.628364,0.105153
3,0.152869,0.406587,0.527246,0.570942,0.085163
4,0.158925,0.557144,0.46563,0.698794,0.172358
5,0.180006,0.085578,0.572105,0.133653,0.604503
6,0.407409,0.108994,0.194353,0.114279,0.089693
7,0.69488,0.089452,0.673627,0.48835,0.680854
8,0.099839,0.080371,0.496552,0.067083,0.461679
9,0.301505,0.32391,0.0518,0.222657,0.263566
10,0.110275,0.092198,0.088096,0.672723,0.105853
11,0.563394,0.136755,0.644589,0.168883,0.528344
12,0.347215,0.137444,0.23161,0.200013,0.165281
13,0.44921,0.480267,0.483726,0.511931,0.144751
14,0.110073,0.048943,0.615233,0.087802,0.281244
15,0.068075,0.06481,0.12635,0.13112,0.478131
16,0.125425,0.097798,0.106921,0.142117,0.13703
17,0.489139,0.589075,0.594321,0.499673,0.091767
18,0.09637,0.124503,0.120896,0.45911,0.589324
19,0.136459,0.086617,0.549333,0.687088,0.564046
20,0.086629,0.102562,0.548816,0.112017,0.498817
21,0.092843,0.447385,0.403893,0.460275,0.614641
22,0.102513,0.460406,0.10892,0.596572,0.564997
23,0.075469,0.042849,0.516867,0.108083,0.632686
24,0.610349,0.088482,0.619371,0.489277,0.590825
25,0.161247,0.069274,0.182182,0.058878,0.555901
26,0.113404,0.127973,0.146002,0.577338,0.421857
27,0.127294,0.048802,0.133911,0.516245,0.447233
28,0.677535,0.597261,0.684538,0.664981,0.679623
29,0.154805,0.080375,0.159962,0.475996,0.574715
30,0.127704,0.402414,0.488788,0.647835,0.189563
31,0.120716,0.091317,0.130469,0.606095,0.477814
32,0.113997,0.108119,0.09904,0.637786,0.615447
33,0.520574,0.454199,0.142029,0.561442,0.588376
34,0.140932,0.102251,0.12505,0.508969,0.499069
35,0.083406,0.075719,0.117277,0.576815,0.655775
36,0.131408,0.102883,0.156949,0.556332,0.637555
37,0.090005,0.078765,0.094256,0.571048,0.559027
38,0.105312,0.596379,0.129722,0.473444,0.141508
39,0.10904,0.141314,0.08011,0.532131,0.147795
40,0.145426,0.102923,0.422823,0.57533,0.438423
41,0.46,0.101829,0.487387,0.522592,0.571602
42,0.495718,0.11822,0.107417,0.496869,0.551732
43,0.102236,0.037168,0.061429,0.591933,0.587061
44,0.687313,0.08503,0.673668,0.137119,0.619094
45,0.078731,0.068455,0.451324,0.610005,0.627689
46,0.148612,0.131397,0.574132,0.087174,0.194465
47,0.05653,0.065479,0.072656,0.478133,0.386564
48,0.071688,0.136372,0.109602,0.43909,0.328279
49,0.120284,0.110681,0.487102,0.534957,0.514906
50,0.16601,0.122501,0.116225,0.591496,0.532132
51,0.102928,0.114079,0.115811,0.619768,0.156233
52,0.557647,0.571045,0.134602,0.633621,0.566955
53,0.084753,0.047993,0.106429,0.162159,0.626469
54,0.090899,0.559844,0.085694,0.654682,0.157701
55,0.701542,0.111658,0.701097,0.506157,0.621809
56,0.596973,0.087848,0.557708,0.65194,0.618301
57,0.080633,0.041177,0.599031,0.149074,0.104837
58,0.489172,0.544,0.111182,0.560093,0.511244
59,0.100407,0.101145,0.09334,0.572898,0.558003
60,0.144824,0.43018,0.112922,0.508926,0.481248
61,0.121163,0.54515,0.054683,0.538139,0.468011
62,0.076217,0.105451,0.056769,0.585765,0.124587
63,0.134065,0.48952,0.11083,0.555055,0.525874
64,0.116937,0.082253,0.127337,0.120503,0.567323
65,0.114491,0.633089,0.085513,0.589741,0.59615
66,0.138083,0.08374,0.549039,0.108288,0.129782
67,0.105895,0.049655,0.135899,0.521815,0.141863
68,0.093609,0.092166,0.131644,0.674576,0.159117
69,0.158653,0.103491,0.404043,0.188307,0.506705
70,0.659285,0.562407,0.122637,0.509116,0.544679
71,0.104912,0.099453,0.150526,0.581916,0.527175
72,0.501923,0.143182,0.121281,0.522241,0.478035
73,0.096141,0.068179,0.066254,0.628973,0.508792
74,0.090157,0.121425,0.166025,0.490686,0.170502
75,0.471324,0.116594,0.113967,0.598838,0.533255
76,0.628613,0.10293,0.596314,0.145035,0.610726
77,0.134107,0.119025,0.188181,0.511962,0.57432
78,0.099751,0.056652,0.088375,0.516239,0.516132
79,0.078535,0.104801,0.10517,0.46877,0.163055
80,0.08732,0.072301,0.510826,0.682367,0.621879
81,0.115226,0.026232,0.207108,0.618999,0.105103
82,0.103761,0.118349,0.141493,0.501847,0.57137
83,0.640009,0.5494,0.582406,0.561835,0.630687
84,0.117325,0.049573,0.063355,0.652984,0.152789
85,0.11914,0.542973,0.106184,0.464087,0.591392
86,0.150432,0.008645,0.088758,0.353641,0.508207
87,0.574837,0.09689,0.166993,0.196185,0.043871
88,0.537702,0.111832,0.153906,0.175078,0.605558
89,0.154901,0.147475,0.133463,0.559382,0.605252
90,0.22048,0.021784,0.049421,0.42224,0.418329
91,0.095572,0.052647,0.080053,0.341459,0.251016
92,0.593247,0.083687,0.141157,0.094233,0.075365
93,0.502264,0.431346,0.10017,0.563901,0.56052
94,0.534055,0.049303,0.559815,0.652546,0.536492
95,0.580101,0.065665,0.088228,0.632818,0.140322
96,0.063909,0.464334,0.067919,0.515066,0.171603
97,0.07309,0.122065,0.114521,0.671986,0.139052
98,0.095938,0.424287,0.419237,0.175806,0.151667
99,0.090602,0.108151,0.097783,0.555982,0.15082
100,0.563759,0.115518,0.613602,0.560956,0.591651
101,0.11583,0.077741,0.567268,0.501412,0.677897
102,0.691909,0.585614,0.591158,0.495551,0.59741
103,0.530198,0.108834,0.117455,0.131592,0.67108
104,0.450335,0.533518,0.588386,0.460504,0.526285
105,0.14642,0.077745,0.162099,0.14497,0.478084
106,0.249168,0.049413,0.23744,0.312201,0.160342
107,0.073477,0.050558,0.098355,0.598561,0.535738
108,0.359308,0.421217,0.124567,0.216255,0.030438
109,0.129225,0.068259,0.125128,0.120612,0.633097
110,0.0,0.0,0.0,0.0,0.0
111,0.0,0.0,0.0,0.0,0.0
112,0.0,0.0,0.0,0.0,0.0
113,0.0,0.0,0.0,0.0,0.0
114,0.0,0.0,0.0,0.0,0.0
115,0.0,0.0,0.0,0.0,0.0
116,0.0,0.0,0.0,0.0,0.0
117,0.0,0.0,0.0,0.0,0.0
118,0.0,0.0,0.0,0.0,0.0
119,0.542819,0.109456,0.204192,0.076483,0.158992
