scene,anger,disgust,fear,joy,sadness
0,0.066618,0.057476,0.442381,0.634893,0.41491
1,0.145612,0.081604,0.137676,0.172231,0.191764
2,0.094086,0.065596,0.111935,0.702814,0.110925
3,0.300228,0.07283,0.254652,0.107095,0.067761
4,0.095563,0.039239,0.072659,0.57417,0.143649
5,0.130034,0.086034,0.609435,0.488297,0.180526
6,0.191047,0.161758,0.129919,0.17935,0.196402
7,0.115081,0.091458,0.151712,0.515791,0.508621
8,0.50543,0.116101,0.623707,0.654207,0.133762
9,0.098487,0.095724,0.084078,0.126572,0.125597
10,0.137806,0.156145,0.147589,0.48258,0.187256
11,0.564238,0.098597,0.114442,0.517593,0.444451
12,0.57598,0.089607,0.113226,0.544167,0.150175
13,0.153309,0.11342,0.132347,0.187515,0.137937
14,0.140481,0.145821,0.127419,0.128022,0.196563
15,0.099039,0.468638,0.140129,0.145342,0.171788
16,0.13322,0.563227,0.101345,0.150931,0.148671
17,0.115852,0.109091,0.591154,0.174367,0.571764
18,0.12054,0.100582,0.636343,0.498608,0.555825
19,0.523468,0.107614,0.134412,0.508792,0.195099
20,0.138023,0.081362,0.108098,0.505292,0.164078
21,0.082929,0.098943,0.109269,0.534866,0.161449
22,0.112841,0.103455,0.091438,0.162841,0.555652
23,0.652699,0.072862,0.058499,0.468408,0.131235
24,0.114014,0.074912,0.097599,0.461295,0.135229
25,0.111358,0.1221,0.124537,0.582017,0.179566
26,0.112884,0.116146,0.13209,0.580775,0.204537
27,0.107693,0.115588,0.126508,0.559575,0.155745
28,0.111678,0.555,0.074424,0.15329,0.659648
29,0.055935,0.08825,0.078617,0.676314,0.132548
30,0.060047,0.068953,0.080051,0.159899,0.119811
31,0.084065,0.089755,0.113858,0.153156,0.573631
32,0.12648,0.568862,0.138018,0.457958,0.151737
33,0.109961,0.116365,0.120265,0.519186,0.188133
34,0.116728,0.09424,0.439601,0.180536,0.146363
35,0.092851,0.056905,0.110184,0.578359,0.436486
36,0.074779,0.080906,0.104828,0.605148,0.113151
37,0.076819,0.078074,0.078543,0.567543,0.144064
38,0.516867,0.102767,0.602754,0.143258,0.485305
39,0.106185,0.080373,0.162862,0.582431,0.223916
40,0.090762,0.063468,0.088833,0.569447,0.145
41,0.197143,0.127299,0.031779,0.265931,0.083958
42,0.074729,0.068539,0.073225,0.611483,0.164091
43,0.104988,0.100215,0.102805,0.533931,0.170456
44,0.107629,0.088461,0.109646,0.50856,0.177994
45,0.029198,0.112192,0.371438,0.181731,0.443625
46,0.131967,0.465994,0.490744,0.108189,0.05935
47,0.116407,0.488314,0.104981,0.538145,0.128293
48,0.054891,0.034204,0.081431,0.522998,0.164482
49,0.145544,0.123236,0.662168,0.19273,0.54243
50,0.093392,0.083824,0.102883,0.476535,0.178187
51,0.048785,0.032429,0.05752,0.59911,0.085238
52,0.12241,0.148363,0.097753,0.26338,0.151197
53,0.083275,0.089882,0.089575,0.151561,0.158599
54,0.077319,0.046751,0.061286,0.698772,0.084602
55,0.091714,0.117426,0.132249,0.601676,0.145984
56,0.082927,0.086241,0.117219,0.603288,0.139418
57,0.065517,0.044514,0.071525,0.615015,0.138448
58,0.070483,0.094872,0.082427,0.651006,0.141431
59,0.06627,0.489221,0.065627,0.654238,0.114334
60,0.107049,0.452384,0.154341,0.550304,0.530736
61,0.052937,0.032549,0.085786,0.623242,0.205281
62,0.057827,0.052583,0.054385,0.562126,0.176034
63,0.095696,0.089679,0.12277,0.249905,0.169844
64,0.118053,0.074937,0.112703,0.170852,0.181906
65,0.504181,0.081965,0.470268,0.506519,0.166348
66,0.140813,0.126946,0.095622,0.217738,0.134981
67,0.464083,0.08372,0.104152,0.598161,0.182133
68,0.081988,0.069477,0.088061,0.566574,0.186495
69,0.139053,0.299827,0.388304,0.276925,0.146736
70,0.112448,0.085032,0.119959,0.122677,0.544408
71,0.118017,0.136939,0.128599,0.527925,0.205688
72,0.096425,0.09588,0.100899,0.615743,0.533697
