scene,anger,disgust,fear,joy,sadness
0,0.0,0.0,0.0,0.0,0.0
1,0.154228,0.166751,0.132229,0.609211,0.513192
2,0.163032,0.102386,0.080945,0.470791,0.135077
3,0.47941,0.09971,0.154345,0.550701,0.493098
4,0.174021,0.132795,0.140106,0.567278,0.474871
5,0.139634,0.158479,0.080639,0.564451,0.45732
6,0.060572,0.054709,0.049846,0.617312,0.193287
7,0.11862,0.109121,0.09466,0.122413,0.179844
8,0.127295,0.112976,0.094553,0.139114,0.552998
9,0.097582,0.081457,0.075621,0.140005,0.539265
10,0.172757,0.093036,0.14464,0.182617,0.475653
11,0.109024,0.11164,0.118868,0.488138,0.147802
12,0.168723,0.100501,0.133986,0.12515,0.196188
13,0.4417,0.112226,0.133602,0.123753,0.196003
14,0.151097,0.135229,0.51011,0.163781,0.496079
15,0.102653,0.083414,0.136805,0.602901,0.133117
16,0.109133,0.0836,0.071076,0.175008,0.199667
17,0.128698,0.105227,0.115903,0.587826,0.17039
18,0.095139,0.057124,0.081073,0.432923,0.169211
19,0.090121,0.107908,0.076689,0.620418,0.163018
20,0.112855,0.09957,0.591278,0.162532,0.161702
21,0.521774,0.122959,0.091614,0.124606,0.189036
22,0.079502,0.076686,0.105668,0.595203,0.456938
23,0.532268,0.058505,0.097049,0.545717,0.478586
24,0.585656,0.11288,0.105171,0.567715,0.625661
25,0.097123,0.080266,0.110778,0.561199,0.152155
26,0.090439,0.097992,0.114149,0.651036,0.183273
27,0.122161,0.461813,0.086271,0.204614,0.50979
28,0.105287,0.084557,0.123539,0.578418,0.586186
29,0.088051,0.0775,0.102305,0.513721,0.151244
30,0.103753,0.114682,0.129105,0.619172,0.452646
31,0.514544,0.087763,0.09221,0.176353,0.171583
32,0.051603,0.517908,0.064122,0.550363,0.105625
33,0.092577,0.085779,0.102018,0.561292,0.186699
34,0.42879,0.127492,0.721079,0.181841,0.175576
35,0.655666,0.095231,0.131642,0.140618,0.194772
36,0.104859,0.076532,0.099504,0.205106,0.173084
37,0.094218,0.086141,0.109844,0.176635,0.108678
38,0.678763,0.082007,0.674156,0.499275,0.687803
39,0.101441,0.085262,0.084169,0.550524,0.500966
40,0.113657,0.101784,0.09441,0.137795,0.20783
41,0.086233,0.049523,0.079463,0.617037,0.176686
42,0.078915,0.062715,0.105637,0.601976,0.531611
43,0.097559,0.099764,0.079831,0.577633,0.448868
44,0.083671,0.114857,0.089271,0.536495,0.479293
45,0.077241,0.094135,0.07826,0.559072,0.124182
46,0.194941,0.103753,0.01892,0.482961,0.099882
47,0.107404,0.12337,0.081791,0.483399,0.504658
48,0.138581,0.061623,0.11657,0.605176,0.479786
49,0.084988,0.082213,0.072084,0.49397,0.155953
50,0.12116,0.139469,0.072105,0.085665,0.227808
51,0.518393,0.100035,0.128385,0.162963,0.439568
52,0.0,0.0,0.0,0.0,0.0
53,0.126106,0.062625,0.085563,0.142892,0.137999
54,0.219696,0.072875,0.137286,0.499239,0.180065
55,0.069162,0.101775,0.084621,0.576593,0.142798
56,0.068599,0.071285,0.08163,0.599052,0.467438
57,0.0,0.0,0.0,0.0,0.0
58,0.051647,0.145349,0.116536,0.295439,0.380052
59,0.081066,0.142128,0.104087,0.326398,0.325649
60,0.138041,0.112954,0.140845,0.592513,0.576456
61,0.073335,0.064375,0.075805,0.652392,0.139222
62,0.27177,0.117151,0.175479,0.197304,0.138539
63,0.213791,0.141339,0.202498,0.189066,0.169663
64,0.158339,0.083279,0.162754,0.516759,0.18918
65,0.085638,0.458337,0.108288,0.610472,0.186028
66,0.115742,0.013562,0.121788,0.054144,0.059256
67,0.072187,0.069088,0.079688,0.502533,0.137058
68,0.099186,0.061219,0.073167,0.109801,0.112541
69,0.0,0.0,0.0,0.0,0.0
70,0.050563,0.034956,0.104888,0.10834,0.110728
71,0.533054,0.049826,0.056065,0.099159,0.119188
72,0.079788,0.132968,0.080076,0.057508,0.544507
73,0.091297,0.093057,0.110644,0.548276,0.165505
74,0.102302,0.070692,0.090836,0.57108,0.148881
75,0.07944,0.05845,0.126597,0.578049,0.203345
76,0.567039,0.074104,0.075056,0.509531,0.147801
77,0.498337,0.132205,0.167527,0.485934,0.535562
78,0.127812,0.071166,0.101992,0.588851,0.575669
79,0.123896,0.091013,0.13581,0.561979,0.524291
80,0.597672,0.132173,0.108151,0.553955,0.542256
81,0.12088,0.104952,0.128833,0.56542,0.546919
82,0.158767,0.132653,0.145782,0.152956,0.56068
83,0.217532,0.144769,0.087247,0.553117,0.522298
84,0.597088,0.093882,0.073056,0.665851,0.131056
85,0.482382,0.081226,0.558638,0.582526,0.559696
86,0.12309,0.119546,0.126069,0.58148,0.468504
87,0.101273,0.092161,0.092668,0.622261,0.558588
