scene,anger,disgust,fear,joy,sadness
0,0.150646,0.110127,0.502362,0.527174,0.183043
1,0.084404,0.085866,0.104446,0.551222,0.144774
2,0.0,0.0,0.0,0.0,0.0
3,0.094021,0.079932,0.059282,0.522797,0.113463
4,0.422169,0.140115,0.103874,0.437291,0.479593
5,0.119469,0.106729,0.114837,0.149716,0.166639
6,0.442569,0.09634,0.0717,0.127275,0.510861
7,0.05682,0.052181,0.040362,0.133741,0.058966
8,0.114321,0.10803,0.063384,0.184946,0.518434
9,0.083584,0.038949,0.068215,0.586657,0.121875
10,0.435028,0.088999,0.07609,0.572249,0.097168
11,0.0,0.0,0.0,0.0,0.0
12,0.067073,0.164255,0.055955,0.483367,0.100322
13,0.081531,0.078771,0.078412,0.499433,0.122397
14,0.099197,0.141311,0.070766,0.523155,0.172451
15,0.082296,0.07994,0.069525,0.582984,0.149961
16,0.149896,0.130255,0.121044,0.153233,0.238516
17,0.505202,0.076643,0.089785,0.582236,0.515613
18,0.094476,0.072969,0.09187,0.571838,0.5422
19,0.101727,0.089095,0.102278,0.609481,0.529239
20,0.128252,0.094708,0.475618,0.131855,0.371207
21,0.420382,0.087427,0.110778,0.504169,0.162676
22,0.111781,0.095157,0.127156,0.571752,0.522113
23,0.12366,0.467585,0.106608,0.1482,0.469626
24,0.078539,0.083225,0.08783,0.114591,0.501574
25,0.149247,0.118063,0.099802,0.606034,0.501245
26,0.118355,0.084956,0.472084,0.443997,0.115631
27,0.10933,0.122504,0.056332,0.623692,0.176035
28,0.092909,0.092325,0.119568,0.142347,0.188542
29,0.644263,0.126706,0.516623,0.126752,0.485073
30,0.164636,0.110115,0.458419,0.14335,0.482299
31,0.048403,0.005756,0.059492,0.762705,0.069504
32,0.23592,0.221749,0.221566,0.330312,0.096266
33,0.078584,0.026095,0.084795,0.635259,0.116781
34,0.122031,0.125621,0.089907,0.180797,0.152156
35,0.140334,0.114718,0.088299,0.164135,0.153214
36,0.092298,0.086732,0.097057,0.546722,0.139511
37,0.089447,0.084863,0.086923,0.602957,0.575511
38,0.11174,0.108731,0.137536,0.170759,0.13041
39,0.114052,0.073763,0.107001,0.539363,0.558803
40,0.061937,0.07042,0.029396,0.651396,0.111838
41,0.543158,0.110044,0.590128,0.536916,0.481692
42,0.0,0.0,0.0,0.0,0.0
43,0.0602,0.055896,0.036827,0.647594,0.070749
44,0.078834,0.091001,0.061983,0.704544,0.146391
45,0.09665,0.082381,0.061354,0.441786,0.139307
46,0.152389,0.098605,0.109039,0.537548,0.438334
47,0.131974,0.099131,0.40366,0.089213,0.421268
48,0.500452,0.14298,0.110568,0.139145,0.540641
49,0.467711,0.13309,0.152645,0.507941,0.147411
50,0.572944,0.106274,0.08644,0.647601,0.136178
51,0.089542,0.103775,0.08641,0.494813,0.137565
52,0.115534,0.137441,0.078053,0.652736,0.149556
53,0.168303,0.153549,0.10194,0.132742,0.490414
54,0.106559,0.111786,0.135283,0.509912,0.145952
55,0.145519,0.093245,0.107617,0.10798,0.532164
56,0.084116,0.093919,0.078848,0.137849,0.13421
57,0.093529,0.099407,0.096879,0.601515,0.177282
58,0.1058,0.093512,0.091798,0.115992,0.529297
59,0.093846,0.08653,0.077085,0.154035,0.191811
60,0.073101,0.066916,0.085294,0.546554,0.131481
61,0.459594,0.099026,0.097707,0.499115,0.529189
62,0.114672,0.082013,0.487804,0.616749,0.443875
63,0.131818,0.129477,0.128283,0.110981,0.505771
64,0.087378,0.079108,0.092763,0.112777,0.59237
65,0.137463,0.124201,0.120098,0.148115,0.526785
66,0.060613,0.097781,0.450592,0.447779,0.106311
67,0.163792,0.105106,0.590587,0.561009,0.525198
68,0.053299,0.104336,0.069678,0.478462,0.431755
69,0.118387,0.058047,0.096359,0.534543,0.237036
70,0.454826,0.44895,0.168876,0.075743,0.162065
71,0.208326,0.138098,0.215677,0.331946,0.245712
72,0.120797,0.090644,0.04737,0.159828,0.523981
73,0.175451,0.10659,0.155999,0.143078,0.565677
74,0.079349,0.053185,0.078665,0.547679,0.146503
75,0.0,0.0,0.0,0.0,0.0
76,0.088213,0.062359,0.107389,0.548076,0.150214
77,0.161505,0.125921,0.101506,0.111223,0.511133
78,0.117429,0.107744,0.089898,0.537471,0.145845
79,0.100526,0.127021,0.080101,0.65308,0.557053
80,0.074704,0.080211,0.078041,0.522956,0.116289
81,0.097029,0.086373,0.079093,0.622969,0.119829
82,0.119269,0.108177,0.517703,0.452152,0.1529
83,0.077372,0.107365,0.081529,0.574225,0.137338
84,0.548396,0.113119,0.142514,0.139605,0.570247
85,0.153034,0.439353,0.543861,0.479226,0.500229
86,0.474291,0.393729,0.169837,0.408967,0.552896
87,0.141786,0.103916,0.125096,0.145172,0.537304
88,0.083076,0.101232,0.583902,0.077233,0.465273
89,0.087893,0.090035,0.082461,0.144591,0.47406
90,0.146245,0.11979,0.099468,0.43686,0.129325
91,0.063202,0.404829,0.656201,0.560542,0.148957
92,0.58195,0.10953,0.097764,0.481815,0.125319
93,0.093342,0.042053,0.121897,0.06887,0.467144
94,0.148876,0.105154,0.11177,0.593648,0.460323
95,0.458781,0.089081,0.119455,0.477615,0.111346
96,0.139215,0.105205,0.541626,0.166641,0.549453
97,0.085667,0.074125,0.547486,0.540571,0.47463
98,0.109849,0.082898,0.086403,0.600714,0.160304
