scene,anger,disgust,fear,joy,sadness
0,0.0,0.0,0.0,0.0,0.0
1,0.50608,0.110181,0.09119,0.091125,0.596351
2,0.139297,0.127701,0.075059,0.144696,0.520066
3,0.158153,0.230192,0.025401,0.473778,0.066946
4,0.106267,0.127554,0.043386,0.067151,0.46992
5,0.084758,0.051488,0.077067,0.132643,0.07988
6,0.58962,0.543855,0.141993,0.462073,0.564999
7,0.106439,0.512773,0.089763,0.619372,0.146073
8,0.69831,0.091923,0.681872,0.592057,0.486261
9,0.282023,0.138066,0.437452,0.209427,0.120518
10,0.130287,0.110853,0.120678,0.607034,0.180844
11,0.086246,0.325665,0.228441,0.139829,0.409202
12,0.130472,0.092161,0.100107,0.645925,0.14699
13,0.114192,0.44956,0.092808,0.140768,0.133263
14,0.098592,0.067733,0.094029,0.494829,0.505506
15,0.691013,0.686727,0.700686,0.487962,0.609203
16,0.437244,0.049665,0.607104,0.415487,0.645522
17,0.254237,0.126704,0.191402,0.245323,0.289751
18,0.119786,0.489568,0.085435,0.593666,0.162488
19,0.52972,0.613572,0.118782,0.564421,0.566469
20,0.685826,0.675162,0.690642,0.662728,0.693214
21,0.201619,0.118147,0.122162,0.106288,0.157542
22,0.621265,0.699598,0.695365,0.069121,0.685529
23,0.130807,0.109471,0.092639,0.59831,0.205415
24,0.686372,0.623874,0.678655,0.471718,0.667975
25,0.68299,0.692929,0.681342,0.559131,0.580871
26,0.129916,0.54968,0.117836,0.578571,0.563552
27,0.712835,0.686707,0.690385,0.733063,0.698198
28,0.51209,0.087331,0.075063,0.494388,0.540005
29,0.111465,0.110583,0.081727,0.609233,0.093689
30,0.136604,0.127889,0.134564,0.567778,0.618945
31,0.157693,0.059739,0.491923,0.058785,0.436275
32,0.106252,0.09022,0.116067,0.653729,0.538989
33,0.647877,0.691946,0.576258,0.602417,0.614835
34,0.079794,0.44559,0.541311,0.659063,0.075915
35,0.085673,0.133081,0.086236,0.639831,0.558868
36,0.672967,0.649394,0.687913,0.549156,0.698555
37,0.546836,0.083172,0.126519,0.16647,0.153885
38,0.46825,0.087295,0.455173,0.607682,0.137396
39,0.093017,0.068154,0.099274,0.128219,0.553384
40,0.122148,0.108029,0.110361,0.601324,0.626193
41,0.417143,0.444049,0.679273,0.596861,0.103916
42,0.690592,0.713656,0.687814,0.446194,0.618414
43,0.661372,0.647644,0.115155,0.604486,0.544873
44,0.470113,0.655007,0.061844,0.588461,0.091616
45,0.11363,0.62881,0.687463,0.683071,0.605073
46,0.059741,0.090721,0.071327,0.588754,0.132404
47,0.160158,0.572776,0.116484,0.521261,0.437477
48,0.17518,0.041665,0.242558,0.282038,0.034223
49,0.446887,0.119103,0.563758,0.139774,0.464381
50,0.691679,0.086022,0.682078,0.462831,0.680861
51,0.454916,0.243731,0.200013,0.149336,0.187863
52,0.47514,0.182018,0.261063,0.045728,0.321521
53,0.437864,0.163427,0.515014,0.045661,0.148406
54,0.419523,0.090609,0.449964,0.011097,0.395654
55,0.547308,0.151546,0.415563,0.012083,0.269337
56,0.468254,0.161155,0.179797,0.098661,0.251015
57,0.587209,0.531278,0.594574,0.461269,0.635373
58,0.085372,0.610149,0.079234,0.133444,0.607748
59,0.08913,0.104766,0.030644,0.538686,0.099871
60,0.533769,0.104146,0.557312,0.54123,0.541349
61,0.582577,0.158661,0.654582,0.514602,0.602224
62,0.125992,0.471681,0.620367,0.103401,0.160505
63,0.384822,0.194315,0.092324,0.041138,0.220894
64,0.675424,0.127378,0.147142,0.584204,0.652111
65,0.506352,0.059745,0.076326,0.587473,0.584443
66,0.117533,0.554608,0.10491,0.570639,0.116061
67,0.408439,0.680793,0.071303,0.17853,0.105832
68,0.481434,0.565894,0.528376,0.502366,0.580646
69,0.152539,0.612332,0.596954,0.573663,0.582002
70,0.517225,0.504489,0.122642,0.089118,0.165085
71,0.113391,0.56483,0.128795,0.541942,0.102439
72,0.590919,0.54214,0.599831,0.558645,0.619911
73,0.017311,0.008964,0.054119,0.830985,0.093517
74,0.555784,0.056666,0.476481,0.517417,0.144319
75,0.693179,0.593944,0.698403,0.526084,0.594766
76,0.512803,0.162668,0.145389,0.144001,0.115923
77,0.186563,0.051052,0.184684,0.500627,0.166589
78,0.690152,0.640145,0.633205,0.458477,0.657608
79,0.521787,0.10686,0.125319,0.454581,0.11332
80,0.683667,0.599783,0.616734,0.565096,0.672947
81,0.17365,0.540657,0.16134,0.128802,0.565576
82,0.652171,0.155707,0.188381,0.503104,0.532415
83,0.170106,0.502244,0.169285,0.598402,0.569051
