scene,anger,disgust,fear,joy,sadness
0,0.688667,0.676198,0.69329,0.579335,0.693976
1,0.342084,0.177415,0.395986,0.064005,0.263332
2,0.084111,0.020653,0.175764,0.300447,0.213715
3,0.122948,0.261245,0.08134,0.500352,0.120059
4,0.093743,0.047955,0.479198,0.124323,0.16292
5,0.165187,0.551794,0.095108,0.158636,0.194606
6,0.103881,0.039531,0.098915,0.446329,0.096332
7,0.108722,0.076953,0.033269,0.47373,0.456941
8,0.107086,0.085777,0.070945,0.595721,0.200869
9,0.072051,0.071607,0.643353,0.624288,0.519157
10,0.546102,0.123274,0.158726,0.512891,0.568671
11,0.075238,0.073222,0.119042,0.110661,0.546028
12,0.094512,0.082837,0.157619,0.126931,0.584979
13,0.697424,0.528475,0.699267,0.100994,0.709843
14,0.135185,0.108573,0.154454,0.097983,0.560933
15,0.085319,0.510272,0.095656,0.146179,0.115726
16,0.100225,0.100083,0.069459,0.623026,0.162626
17,0.161376,0.528798,0.138321,0.160865,0.192387
18,0.087069,0.062436,0.055825,0.486049,0.166816
19,0.101171,0.064576,0.62926,0.141353,0.498846
20,0.09814,0.090005,0.134126,0.122222,0.593648
21,0.210769,0.07236,0.286119,0.170252,0.166701
22,0.118938,0.479396,0.066761,0.297985,0.227425
23,0.134651,0.124722,0.09869,0.189077,0.509864
24,0.159897,0.062809,0.102749,0.571803,0.087679
25,0.478616,0.2395,0.399901,0.107348,0.072929
26,0.349149,0.140404,0.146761,0.357677,0.168224
27,0.147112,0.448295,0.119643,0.468988,0.453523
28,0.46277,0.079332,0.082273,0.556902,0.444376
29,0.078877,0.072875,0.063206,0.635382,0.131652
30,0.460477,0.08396,0.08744,0.202615,0.134189
31,0.10323,0.099937,0.135772,0.510741,0.546274
32,0.098021,0.110862,0.104766,0.151675,0.180504
33,0.156722,0.101476,0.111848,0.080885,0.210033
34,0.099219,0.119326,0.101084,0.546929,0.485748
35,0.136769,0.109493,0.141579,0.158082,0.509738
36,0.156426,0.135158,0.084387,0.13295,0.544312
37,0.145667,0.08178,0.097794,0.484752,0.566751
38,0.213667,0.069411,0.254095,0.32981,0.188218
39,0.120002,0.133869,0.119341,0.151744,0.48692
40,0.577795,0.06326,0.064533,0.502085,0.150988
41,0.068644,0.062131,0.044902,0.607127,0.136429
42,0.106295,0.052761,0.083674,0.556919,0.495897
43,0.682039,0.665905,0.597527,0.578326,0.680167
44,0.213404,0.066321,0.137491,0.116157,0.564417
45,0.129673,0.089956,0.113825,0.165583,0.24117
46,0.106817,0.115928,0.052685,0.596852,0.449836
47,0.090033,0.074095,0.073129,0.707136,0.164518
48,0.407999,0.101587,0.09075,0.489277,0.521529
49,0.078598,0.087076,0.086285,0.651713,0.111273
50,0.114963,0.081621,0.12072,0.626542,0.193398
