scene,anger,disgust,fear,joy,sadness
0,0.126486,0.051529,0.089133,0.531611,0.591889
1,0.47345,0.06621,0.269069,0.111486,0.163381
2,0.07573,0.06912,0.073633,0.604056,0.118063
3,0.1329,0.116241,0.082441,0.62249,0.521925
4,0.163224,0.165027,0.123803,0.474391,0.100375
5,0.120242,0.107564,0.150324,0.507131,0.185085
6,0.149413,0.099628,0.568984,0.201681,0.469209
7,0.436684,0.420241,0.113031,0.204544,0.121303
8,0.118181,0.106487,0.105386,0.619324,0.544403
9,0.077273,0.068907,0.118173,0.471372,0.415437
10,0.650674,0.075078,0.118332,0.093564,0.165332
11,0.531996,0.072982,0.12585,0.123698,0.155953
12,0.115716,0.039082,0.088572,0.633539,0.128025
13,0.118135,0.082836,0.55121,0.639382,0.186332
14,0.115971,0.087439,0.118283,0.524582,0.519336
15,0.094294,0.083454,0.073406,0.571446,0.155348
16,0.568318,0.071563,0.094023,0.62557,0.160087
17,0.112347,0.096951,0.115012,0.59871,0.170226
18,0.086062,0.064354,0.048964,0.640298,0.127138
19,0.135894,0.113262,0.118074,0.128168,0.522579
20,0.605028,0.108614,0.572468,0.097948,0.537777
21,0.109286,0.094746,0.114634,0.147988,0.136601
22,0.105519,0.085732,0.663303,0.490227,0.471848
23,0.443888,0.12443,0.660173,0.477123,0.159125
24,0.094061,0.072293,0.112732,0.610775,0.114531
25,0.044519,0.019445,0.669595,0.56892,0.447465
26,0.511083,0.08207,0.428134,0.148433,0.132714
27,0.047817,0.025402,0.683902,0.082105,0.058772
28,0.523698,0.076941,0.621423,0.126117,0.529201
29,0.545917,0.092234,0.635045,0.151098,0.208441
30,0.078724,0.051604,0.075342,0.714737,0.454926
31,0.071303,0.085376,0.088504,0.133068,0.567219
32,0.126549,0.112737,0.605684,0.124249,0.544093
33,0.183654,0.291901,0.537002,0.103306,0.080583
34,0.114971,0.060357,0.108023,0.123656,0.078448
35,0.105885,0.111367,0.567116,0.588562,0.174605
36,0.159155,0.109348,0.639678,0.476946,0.453605
37,0.141789,0.131106,0.618569,0.561734,0.543861
38,0.111608,0.08247,0.110487,0.161858,0.539761
39,0.107673,0.076044,0.596546,0.59327,0.561563
40,0.556034,0.120271,0.619302,0.4489,0.172267
41,0.097749,0.082841,0.100879,0.507403,0.559743
42,0.089373,0.112202,0.103359,0.53656,0.551098
43,0.588908,0.089066,0.595308,0.530667,0.584393
44,0.449641,0.049681,0.589842,0.127589,0.451913
45,0.076514,0.053959,0.446785,0.425804,0.44962
46,0.117295,0.11793,0.587807,0.114055,0.184877
47,0.054947,0.008985,0.008296,0.317035,0.021293
48,0.122576,0.443181,0.141974,0.543364,0.539166
49,0.058127,0.020063,0.101607,0.131266,0.648541
50,0.029576,0.033781,0.211669,0.033905,0.826356
51,0.119836,0.057204,0.633234,0.139988,0.136355
52,0.093024,0.072056,0.63628,0.133198,0.17097
53,0.0,0.0,0.0,0.0,0.0
54,0.09435,0.081845,0.188592,0.120571,0.389884
55,0.154363,0.06017,0.522709,0.455467,0.452473
56,0.43047,0.080152,0.658457,0.507862,0.162525
57,0.477701,0.134389,0.609092,0.544772,0.55422
58,0.438696,0.111438,0.282284,0.030963,0.471052
59,0.133124,0.251649,0.133294,0.256568,0.380645
60,0.690639,0.681559,0.697444,0.082003,0.676467
61,0.090579,0.108167,0.393595,0.038302,0.630883
62,0.100593,0.087748,0.118264,0.548889,0.589434
63,0.122278,0.111534,0.068555,0.516563,0.445911
64,0.087157,0.094498,0.058519,0.572457,0.440935
