scene,anger,disgust,fear,joy,sadness
0,0.177368,0.087014,0.1358,0.148537,0.431617
1,0.117915,0.101882,0.136578,0.643524,0.118292
2,0.431579,0.070006,0.091315,0.545304,0.542839
3,0.092268,0.058506,0.479964,0.405984,0.508958
4,0.05026,0.047881,0.058155,0.588919,0.461335
5,0.460678,0.069814,0.134076,0.139759,0.145259
6,0.0,0.0,0.0,0.0,0.0
7,0.094755,0.085833,0.092583,0.591909,0.539769
8,0.100769,0.069553,0.11981,0.558725,0.520816
9,0.079252,0.056793,0.137263,0.501743,0.64667
10,0.413314,0.058933,0.129437,0.52813,0.48169
11,0.085717,0.445653,0.482233,0.658706,0.554739
12,0.109241,0.05249,0.09511,0.527912,0.506593
13,0.139738,0.074489,0.036108,0.653637,0.092332
14,0.08215,0.075937,0.083317,0.1899,0.584451
15,0.070864,0.091573,0.080442,0.523981,0.567551
16,0.585507,0.135336,0.094208,0.19982,0.142195
17,0.140763,0.114017,0.122666,0.571616,0.133436
18,0.0,0.0,0.0,0.0,0.0
19,0.098204,0.093419,0.59068,0.16553,0.163518
20,0.075276,0.059352,0.699231,0.569307,0.068409
21,0.069294,0.031201,0.062699,0.09655,0.535646
22,0.097575,0.062898,0.729391,0.508497,0.640956
23,0.600815,0.099127,0.124703,0.125467,0.170678
24,0.456822,0.098875,0.132784,0.04583,0.118571
25,0.124179,0.048421,0.124886,0.123778,0.175234
26,0.115575,0.070033,0.112195,0.545515,0.548351
27,0.683275,0.060646,0.573027,0.544432,0.685915
28,0.132052,0.155104,0.122837,0.544621,0.56963
29,0.103918,0.132743,0.106529,0.438807,0.632941
30,0.105773,0.082336,0.065687,0.180615,0.695909
31,0.103071,0.069169,0.079631,0.555465,0.111118
32,0.469131,0.107591,0.513584,0.641836,0.566637
33,0.079233,0.205858,0.169415,0.162174,0.140621
34,0.071141,0.102693,0.031003,0.582358,0.108399
35,0.124066,0.042165,0.035203,0.52113,0.038002
36,0.128786,0.074591,0.098726,0.576243,0.604521
37,0.505726,0.10162,0.106186,0.130678,0.071516
38,0.41438,0.06531,0.484701,0.504179,0.578237
39,0.078323,0.058333,0.08284,0.644892,0.543622
40,0.673324,0.597781,0.067511,0.528313,0.414926
41,0.136618,0.077787,0.09161,0.182793,0.11795
42,0.135271,0.085921,0.113845,0.571924,0.62862
