scene,anger,disgust,fear,joy,sadness
0,0.09552,0.102164,0.162615,0.535375,0.088217
1,0.079623,0.101642,0.101158,0.5587,0.539918
2,0.086163,0.061069,0.123892,0.473983,0.527297
3,0.077855,0.06806,0.096859,0.562115,0.143429
4,0.116929,0.00658,0.264088,0.450087,0.258495
5,0.099172,0.074957,0.114842,0.16615,0.587978
6,0.090909,0.037318,0.120648,0.156681,0.121223
7,0.0,0.0,0.0,0.0,0.0
8,0.076923,0.045275,0.189232,0.234415,0.593028
9,0.014895,0.021181,0.067619,0.294368,0.674015
10,0.092328,0.075467,0.095396,0.537922,0.166155
11,0.140427,0.049159,0.447329,0.173441,0.564654
12,0.109455,0.105554,0.069354,0.558251,0.147041
13,0.100802,0.110285,0.086703,0.616046,0.480931
14,0.089248,0.066309,0.067345,0.127798,0.159636
15,0.135607,0.086068,0.109844,0.593069,0.451663
16,0.032874,0.019709,0.075069,0.092784,0.058511
17,0.095668,0.072671,0.103209,0.536032,0.440841
18,0.082295,0.0973,0.128124,0.614759,0.130971
19,0.121246,0.098121,0.091443,0.57966,0.662469
20,0.089499,0.102106,0.076674,0.603282,0.232435
21,0.142791,0.101823,0.552471,0.514454,0.220381
22,0.159427,0.165542,0.14024,0.006863,0.779669
23,0.102728,0.107817,0.087289,0.529086,0.169174
24,0.293701,0.012984,0.113687,0.060568,0.726388
25,0.097238,0.082828,0.53694,0.452886,0.506993
26,0.109908,0.088616,0.111856,0.137828,0.512548
27,0.097725,0.066808,0.107134,0.168305,0.694157
28,0.065699,0.067054,0.057325,0.616718,0.133325
29,0.032859,0.018632,0.047561,0.083848,0.829841
30,0.087064,0.096447,0.065202,0.545767,0.513114
31,0.317691,0.124773,0.228453,0.357398,0.18693
32,0.119529,0.101987,0.137433,0.547277,0.49556
33,0.086618,0.052778,0.134082,0.15425,0.436492
34,0.113583,0.080066,0.177674,0.148867,0.218747
35,0.112115,0.107391,0.110771,0.466807,0.681359
36,0.0,0.0,0.0,0.0,0.0
37,0.320273,0.080806,0.558084,0.110048,0.204002
38,0.181601,0.043773,0.15064,0.13313,0.510886
39,0.090351,0.016012,0.071737,0.756471,0.099816
40,0.093098,0.094754,0.082078,0.071872,0.526369
41,0.08619,0.09876,0.1054,0.483504,0.510234
42,0.458417,0.102232,0.103893,0.148064,0.556649
43,0.465458,0.064066,0.114721,0.193411,0.132626
44,0.0,0.0,0.0,0.0,0.0
45,0.10726,0.11479,0.097279,0.613519,0.494304
46,0.11198,0.11927,0.04427,0.615697,0.040195
47,0.146274,0.1463,0.108962,0.167935,0.624516
48,0.116392,0.441972,0.123867,0.550091,0.582982
49,0.0,0.0,0.0,0.0,0.0
