scene,anger,disgust,fear,joy,sadness
0,0.043917,0.076933,0.029745,0.558518,0.052143
1,0.089323,0.083442,0.441012,0.149674,0.536381
2,0.234935,0.024061,0.113925,0.548154,0.045304
3,0.169807,0.050968,0.465256,0.131733,0.118297
4,0.197357,0.078445,0.471622,0.442517,0.109687
5,0.0,0.0,0.0,0.0,0.0
6,0.514106,0.112181,0.137582,0.139326,0.155769
7,0.073708,0.080205,0.061091,0.096665,0.625429
8,0.093612,0.074152,0.080076,0.151943,0.54552
9,0.233221,0.159581,0.309439,0.103413,0.168769
10,0.481089,0.157882,0.096434,0.507432,0.491121
11,0.088161,0.052573,0.568794,0.134492,0.093616
12,0.115849,0.137877,0.077569,0.470762,0.125535
13,0.094519,0.12307,0.051658,0.183133,0.109492
14,0.096514,0.071595,0.114662,0.136745,0.150604
15,0.534975,0.067413,0.096887,0.52108,0.11939
16,0.095301,0.0975,0.076536,0.463256,0.177893
17,0.081075,0.52312,0.598784,0.650198,0.528921
18,0.085075,0.09994,0.081576,0.172475,0.159489
19,0.100995,0.103904,0.083865,0.149673,0.546074
20,0.087523,0.122321,0.073594,0.529561,0.116979
21,0.029354,0.549402,0.042397,0.459891,0.060124
22,0.047117,0.067208,0.06618,0.466787,0.127006
23,0.131005,0.616355,0.434919,0.126845,0.192
24,0.137039,0.167024,0.128577,0.204545,0.155403
25,0.093726,0.120217,0.090515,0.126892,0.16366
26,0.093146,0.124474,0.077703,0.163647,0.139893
27,0.071713,0.556763,0.511814,0.431537,0.12896
28,0.051603,0.140731,0.222256,0.012491,0.060941
29,0.18708,0.5371,0.118105,0.079651,0.711589
30,0.097717,0.108092,0.095128,0.54272,0.598531
31,0.69321,0.087306,0.434893,0.555938,0.549222
32,0.0,0.0,0.0,0.0,0.0
33,0.093431,0.07407,0.133876,0.101293,0.129845
34,0.109373,0.083019,0.109869,0.191083,0.122305
35,0.513196,0.293919,0.132999,0.205498,0.089554
36,0.086572,0.100372,0.118955,0.587842,0.121483
37,0.076484,0.065157,0.136764,0.187433,0.110605
38,0.068922,0.089157,0.092951,0.501246,0.151427
39,0.149167,0.090556,0.20489,0.218167,0.256712
40,0.163898,0.099853,0.121435,0.584946,0.069275
41,0.49965,0.074574,0.435123,0.525742,0.701635
42,0.085417,0.141631,0.15108,0.185555,0.171937
43,0.130084,0.661846,0.545968,0.138721,0.451666
44,0.428744,0.294923,0.234505,0.140546,0.155681
45,0.115079,0.132476,0.526981,0.448917,0.606982
46,0.311123,0.25552,0.188648,0.230497,0.169953
47,0.0,0.0,0.0,0.0,0.0
48,0.101012,0.110759,0.131406,0.180083,0.166194
49,0.092839,0.084746,0.095331,0.626764,0.143946
50,0.106794,0.477109,0.169252,0.168371,0.48113
51,0.073567,0.073483,0.127322,0.558048,0.126456
52,0.098714,0.077742,0.573118,0.129449,0.566292
53,0.0,0.0,0.0,0.0,0.0
54,0.068505,0.139191,0.066719,0.105357,0.077805
55,0.682927,0.68862,0.632262,0.108712,0.525008
56,0.069154,0.085766,0.084964,0.580504,0.162545
57,0.099949,0.078035,0.095469,0.167491,0.150853
58,0.121086,0.10549,0.098583,0.523529,0.485469
59,0.477656,0.154026,0.122576,0.435384,0.195899
60,0.079685,0.074769,0.083306,0.163193,0.166136
61,0.648655,0.621223,0.604374,0.525022,0.672335
62,0.113851,0.127245,0.687041,0.519515,0.139364
63,0.523291,0.094315,0.127075,0.464204,0.116485
64,0.22993,0.356149,0.080517,0.281819,0.216124
65,0.683966,0.266083,0.041209,0.152032,0.029314
66,0.066914,0.398868,0.688685,0.625542,0.522188
67,0.133362,0.492303,0.131533,0.154917,0.683756
68,0.07582,0.108402,0.044234,0.150631,0.108024
69,0.529544,0.135938,0.145203,0.143912,0.495852
70,0.482376,0.109334,0.146694,0.114265,0.63505
71,0.106983,0.53749,0.080629,0.528518,0.461736
72,0.076917,0.083579,0.087549,0.164775,0.480489
73,0.454607,0.086323,0.063193,0.425807,0.435369
74,0.113222,0.530565,0.087346,0.647484,0.126197
75,0.615327,0.077814,0.16886,0.134299,0.11041
