scene,anger,disgust,fear,joy,sadness
0,0.16377,0.089817,0.135564,0.543806,0.490131
1,0.011714,0.228446,0.132474,0.043239,0.057907
2,0.571378,0.532109,0.535815,0.514253,0.485757
3,0.056056,0.67612,0.040281,0.640781,0.097244
4,0.128325,0.100455,0.077791,0.54692,0.130428
5,0.06059,0.127219,0.032692,0.574728,0.083234
6,0.111801,0.078489,0.10217,0.615559,0.515524
7,0.119961,0.110322,0.115531,0.512581,0.123364
8,0.079414,0.105327,0.025271,0.623778,0.22674
9,0.147991,0.110045,0.082423,0.62562,0.512985
10,0.102437,0.099692,0.144191,0.600762,0.592348
11,0.071294,0.510193,0.09186,0.649639,0.621273
12,0.055685,0.671534,0.079659,0.666707,0.581612
13,0.094402,0.070351,0.090162,0.60355,0.147396
14,0.567595,0.076538,0.109368,0.584443,0.170224
15,0.154781,0.10923,0.117873,0.536296,0.531589
16,0.160881,0.504919,0.114529,0.538274,0.200893
17,0.536851,0.09496,0.143804,0.47602,0.533579
18,0.078054,0.007388,0.052362,0.166745,0.002114
19,0.095317,0.079639,0.100358,0.547569,0.47117
20,0.103905,0.082018,0.09601,0.524422,0.122798
21,0.506398,0.119042,0.169621,0.50324,0.534855
22,0.093582,0.080272,0.133104,0.599699,0.468417
