scene,anger,disgust,fear,joy,sadness
0,0.101373,0.125954,0.091376,0.568425,0.211902
1,0.56162,0.117444,0.126298,0.140235,0.173153
2,0.15432,0.07548,0.166864,0.127134,0.461429
3,0.087788,0.469571,0.106948,0.411164,0.460607
4,0.499215,0.126928,0.113404,0.55011,0.223887
5,0.442738,0.123114,0.073562,0.510458,0.166956
6,0.093227,0.097604,0.063427,0.483418,0.535814
7,0.124053,0.090348,0.594663,0.481373,0.512518
8,0.114504,0.06149,0.092735,0.136631,0.156997
9,0.060025,0.055844,0.06196,0.659786,0.162134
10,0.065491,0.066782,0.11458,0.512921,0.582982
11,0.565568,0.085402,0.491877,0.5426,0.64868
12,0.090368,0.109131,0.087474,0.448177,0.625515
13,0.093467,0.074978,0.092202,0.646616,0.163016
14,0.114518,0.099387,0.094828,0.506309,0.161301
15,0.09397,0.079289,0.566418,0.635029,0.128077
16,0.068128,0.100153,0.089326,0.231105,0.234503
17,0.135643,0.104707,0.064498,0.565666,0.460566
18,0.127914,0.097907,0.08182,0.243095,0.629035
19,0.539885,0.109075,0.074534,0.126637,0.675974
20,0.116076,0.08667,0.111694,0.184802,0.164807
21,0.523799,0.132209,0.098184,0.16352,0.152797
22,0.499904,0.114334,0.178778,0.161773,0.215191
23,0.119967,0.093611,0.101422,0.499943,0.192764
24,0.099013,0.089501,0.079149,0.563118,0.141545
25,0.128354,0.168109,0.093089,0.629993,0.172361
26,0.065505,0.094617,0.06486,0.700833,0.1831
27,0.11968,0.107862,0.099136,0.489754,0.581788
28,0.121825,0.132295,0.108273,0.510257,0.156789
29,0.457661,0.113414,0.151038,0.544255,0.193572
30,0.093598,0.46632,0.112668,0.182877,0.137872
31,0.083906,0.105457,0.066761,0.527956,0.130496
32,0.082529,0.011789,0.113614,0.257307,0.047837
33,0.053228,0.0666,0.051264,0.524721,0.121284
34,0.07398,0.096689,0.064888,0.681901,0.464864
35,0.059055,0.046011,0.077038,0.465734,0.147412
36,0.0468,0.033724,0.061495,0.676588,0.163076
37,0.09691,0.050487,0.056009,0.649976,0.152221
38,0.078391,0.056549,0.136184,0.557651,0.144884
39,0.122979,0.093074,0.091728,0.57507,0.169807
40,0.073236,0.106157,0.07494,0.590308,0.433412
41,0.085234,0.097348,0.079053,0.59566,0.509627
42,0.122538,0.097573,0.083447,0.472054,0.171941
43,0.083801,0.081452,0.095668,0.152807,0.4941
44,0.07728,0.111171,0.09301,0.218562,0.176753
45,0.475276,0.060936,0.060681,0.070712,0.138288
46,0.510593,0.060929,0.082217,0.081749,0.104275
47,0.621519,0.079365,0.606799,0.127174,0.094966
48,0.075107,0.072337,0.064292,0.169995,0.136309
49,0.092876,0.06127,0.081681,0.143518,0.471437
50,0.028595,0.011087,0.003643,0.165555,0.006083
51,0.064101,0.047297,0.106585,0.477393,0.155191
52,0.204431,0.009869,0.039191,0.471508,0.061029
53,0.424894,0.427589,0.114708,0.148426,0.583141
54,0.065101,0.090207,0.071344,0.130246,0.154083
55,0.117157,0.091436,0.119045,0.620566,0.142469
56,0.485785,0.132749,0.556603,0.145333,0.553783
57,0.09995,0.477403,0.687371,0.107338,0.597441
58,0.069838,0.059189,0.077871,0.557411,0.125034
59,0.137519,0.107163,0.096014,0.594857,0.194998
60,0.099172,0.066881,0.069593,0.597185,0.506977
61,0.062462,0.049648,0.074416,0.540908,0.166785
62,0.109207,0.103171,0.101299,0.195697,0.506806
63,0.089856,0.054262,0.093662,0.511573,0.131754
64,0.088954,0.077487,0.100743,0.490573,0.608769
65,0.095898,0.112777,0.057417,0.432289,0.141828
66,0.043958,0.012443,0.016754,0.701566,0.087443
67,0.096929,0.114039,0.075155,0.170523,0.17941
68,0.030667,0.034043,0.036104,0.634212,0.059013
69,0.064151,0.075306,0.070055,0.629432,0.481007
70,0.120795,0.106474,0.103234,0.547121,0.136873
71,0.11185,0.107163,0.077827,0.186235,0.191155
72,0.042511,0.132536,0.064134,0.152887,0.091227
73,0.13235,0.05556,0.106825,0.106058,0.159432
74,0.121765,0.074832,0.121739,0.111409,0.535399
75,0.063396,0.107446,0.061197,0.139942,0.172577
76,0.423,0.074907,0.075391,0.622172,0.558234
77,0.112686,0.120386,0.120302,0.53461,0.169927
78,0.091394,0.133605,0.085524,0.615061,0.183114
79,0.087445,0.083275,0.073649,0.614084,0.115012
80,0.58041,0.097245,0.07169,0.509997,0.471455
81,0.094512,0.094712,0.140082,0.511586,0.153256
82,0.11972,0.091351,0.105727,0.581949,0.156366
83,0.073671,0.032952,0.099518,0.668613,0.122892
84,0.125807,0.128449,0.168096,0.570899,0.216407
85,0.071218,0.42912,0.464215,0.630441,0.583876
86,0.079885,0.122039,0.595529,0.638285,0.169233
87,0.080873,0.084501,0.056092,0.599231,0.116371
88,0.086925,0.106938,0.08412,0.452599,0.443401
89,0.616651,0.11286,0.422801,0.438074,0.49633
90,0.099811,0.101103,0.131046,0.610486,0.155419
91,0.077669,0.136036,0.082017,0.515541,0.700479
92,0.488472,0.099501,0.172139,0.113365,0.157821
93,0.492016,0.07505,0.090228,0.121021,0.504613
94,0.058824,0.43343,0.156816,0.466815,0.16576
95,0.571041,0.169131,0.100731,0.112979,0.155831
96,0.166938,0.167305,0.048278,0.1714,0.508894
97,0.114932,0.076232,0.528237,0.484191,0.499247
98,0.127321,0.12679,0.550152,0.125379,0.168573
99,0.109732,0.095077,0.088466,0.462076,0.571752
100,0.103074,0.063181,0.091279,0.422189,0.172961
101,0.101219,0.088645,0.079623,0.540628,0.490312
102,0.096009,0.109436,0.58612,0.069626,0.136104
103,0.052165,0.079197,0.11083,0.581538,0.093363
104,0.441673,0.11057,0.076116,0.523718,0.140139
105,0.096137,0.066119,0.101681,0.506409,0.041962
106,0.135065,0.088858,0.117028,0.460083,0.127154
107,0.136581,0.162514,0.119975,0.514704,0.182558
108,0.092984,0.099645,0.429291,0.484115,0.207232
109,0.112855,0.132445,0.099353,0.503546,0.206922
110,0.438684,0.131755,0.164018,0.250096,0.040198
111,0.681633,0.695008,0.671735,0.482069,0.656268
112,0.150234,0.298014,0.102162,0.344066,0.03889
113,0.479278,0.130862,0.11959,0.190976,0.576961
114,0.079046,0.100512,0.629167,0.470584,0.144026
115,0.515289,0.13784,0.136855,0.548235,0.564497
116,0.080659,0.124303,0.120437,0.165034,0.520728
