,Movie Name
0,Aan Milo Sajna
6,Abhinetri
14,Bachpan
28,Bombay Talkie
31,Chetna
43,Dharti
53,Geet
84,Ghar Ghar Ki Kahani
88,Himmat
99,Humjoli
105,Ishq Par Zor Nahin
112,Jawab
120,Jeevan Mrityu
126,Kati Patang
157,Khilona
177,Maa Aur Mamta
200,Man Ki Aankhen
202,Mere Humsafar
213,Pagla Kahin Ka
226,Pavitra Paapi
240,Prem Pujari
247,Rootha Na Karo
264,Sachaa Jhutha
304,Safar (film)
326,Sawan Bhadon
365,Suhana Safar
375,Tum Haseen Main Jawaan
382,Aap Aye Bahaar Ayee
399,Amar Prem
431,Anand
447,Andaz
457,Anubhav
468,Banphool
478,Bikhare Moti
487,Buddha Mil Gaya
492,Caravan
503,Chaahat
537,Chhoti Bahu
558,Do Boond Pani
564,Dushman
596,Ek Nari Ek Brahmachari
603,Ek Paheli
626,Elaan
643,Guddi
652,Haathi Mere Saathi
663,Hare Rama Hare Krishna
702,Hulchul
726,Jal Bin Machhli Nritya Bin Bijli
731,Kal Aaj Aur Kal
739,Kathputli
742,Lal Patthar
746,Main Sunder Hoon
779,Mehboob Ki Mehndi
788,Mere Apne
793,Parwana
803,Patanga
827,Pyar Ki Kahani
834,Sanjog
849,Sharmeelee
858,Shri Krishna Leela
864,Tere Mere Sapne
884,Uphaar
912,Aangan
917,Achanak
923,Anamika
955,Anhonee
962,Anokhi Ada
966,Avishkaar
981,Bada Kabutar
988,Banarasi Babu
995,Black Mail
1002,Chhalia
1010,Chhupa Rustam
1023,Daag: A Poem of Love
1037,Dharma
1050,Dhund
1113,Do Phool
1124,Duvidha
1126,Garam Hawa
1171,Gehri Chaal
1181,Hanste Zakhm
1200,Heera Panna
1204,Honeymoon
1208,Jaise Ko Taisa
1212,Joshila
1219,Jwar Bhata
1232,Kachche Dhaage
1243,Loafer
1249,Manchali
1250,Mera Desh Mera Dharam
1254,Naina
1259,Namak Haraam
1263,Saudagar
1286,Yaadon Ki Baaraat
1305,Zanjeer
1338,27 Down
1342,36 Ghante
1350,Aahat
1353,Aap Ki Kasam
1358,Ajanabee
1441,Ankur
1473,Badhti Ka Naam Dadhi
1475,Badi Maa
1486,Benaam
1493,Bidaai
1502,Call Girl
1515,Chor Machaye Shor
1526,Chowkidar
1559,Dost
1569,Dulhan
1577,Geeta Mera Naam
1585,Haath Ki Safai
1626,Hawas
1630,Humshakal
1694,Imtihaan
1712,International Crook
1720,Ishq Ishq Ishq
1728,Khotey Sikkay
1753,Kora Kagaz
1761,Kunwara Baap
1771,Majboor
1781,Manoranjan
1789,Mere Saath Chal
1796,Piya Ka Ghar
1808,Rajnigandha
1819,Roti
1824,Sagina
1825,Vachan
1836,Aaja Sanam
1842,Aakhri Daao
1845,Aakraman
1849,Aandhi
1855,Anari
1865,Chupke Chupke
1887,Deewaar
1913,Dharam Karam
1923,Do Jasoos
1929,Ek Mahal Ho Sapno Ka
1935,Faraar
1941,Geet Gaata Chal
1946,Jai Santoshi Maa
1962,Julie
1981,Kala Sona
1988,Khel Khel Mein
